기준_날짜,승차_역,하차_역,승차시간,인원수
20250513,강남,강남,0,17
20250513,강남,강남,4,1
20250513,강남,강남,5,3
20250513,강남,강남,6,4
20250513,강남,강남,7,6
20250513,강남,강남,8,10
20250513,강남,강남,9,13
20250513,강남,강남,10,22
20250513,강남,강남,11,26
20250513,강남,강남,12,29
20250513,강남,강남,13,28
20250513,강남,강남,14,58
20250513,강남,강남,15,35
20250513,강남,강남,16,44
20250513,강남,강남,17,59
20250513,강남,강남,18,299
20250513,강남,강남,19,42
20250513,강남,강남,20,39
20250513,강남,강남,21,103
20250513,강남,강남,22,40
20250513,강남,강남,23,36
20250513,강남,강변(동서울터미널),0,7
20250513,강남,강변(동서울터미널),5,2
20250513,강남,강변(동서울터미널),6,9
20250513,강남,강변(동서울터미널),7,13
20250513,강남,강변(동서울터미널),8,19
20250513,강남,강변(동서울터미널),9,20
20250513,강남,강변(동서울터미널),10,12
20250513,강남,강변(동서울터미널),11,31
20250513,강남,강변(동서울터미널),12,43
20250513,강남,강변(동서울터미널),13,48
20250513,강남,강변(동서울터미널),14,47
20250513,강남,강변(동서울터미널),15,67
20250513,강남,강변(동서울터미널),16,76
20250513,강남,강변(동서울터미널),17,130
20250513,강남,강변(동서울터미널),18,246
20250513,강남,강변(동서울터미널),19,143
20250513,강남,강변(동서울터미널),20,94
20250513,강남,강변(동서울터미널),21,118
20250513,강남,강변(동서울터미널),22,102
20250513,강남,강변(동서울터미널),23,38
20250513,강남,건대입구,0,16
20250513,강남,건대입구,5,3
20250513,강남,건대입구,6,13
20250513,강남,건대입구,7,15
20250513,강남,건대입구,8,25
20250513,강남,건대입구,9,26
20250513,강남,건대입구,10,28
20250513,강남,건대입구,11,30
20250513,강남,건대입구,12,37
20250513,강남,건대입구,13,42
20250513,강남,건대입구,14,48
20250513,강남,건대입구,15,68
20250513,강남,건대입구,16,67
20250513,강남,건대입구,17,144
20250513,강남,건대입구,18,223
20250513,강남,건대입구,19,138
20250513,강남,건대입구,20,95
20250513,강남,건대입구,21,120
20250513,강남,건대입구,22,114
20250513,강남,건대입구,23,29
20250513,강남,교대(법원.검찰청),0,9
20250513,강남,교대(법원.검찰청),1,3
20250513,강남,교대(법원.검찰청),5,4
20250513,강남,교대(법원.검찰청),6,10
20250513,강남,교대(법원.검찰청),7,55
20250513,강남,교대(법원.검찰청),8,128
20250513,강남,교대(법원.검찰청),9,137
20250513,강남,교대(법원.검찰청),10,97
20250513,강남,교대(법원.검찰청),11,112
20250513,강남,교대(법원.검찰청),12,104
20250513,강남,교대(법원.검찰청),13,138
20250513,강남,교대(법원.검찰청),14,128
20250513,강남,교대(법원.검찰청),15,88
20250513,강남,교대(법원.검찰청),16,94
20250513,강남,교대(법원.검찰청),17,129
20250513,강남,교대(법원.검찰청),18,119
20250513,강남,교대(법원.검찰청),19,63
20250513,강남,교대(법원.검찰청),20,43
20250513,강남,교대(법원.검찰청),21,54
20250513,강남,교대(법원.검찰청),22,41
20250513,강남,교대(법원.검찰청),23,11
20250513,강남,구로디지털단지,0,18
20250513,강남,구로디지털단지,5,9
20250513,강남,구로디지털단지,6,34
20250513,강남,구로디지털단지,7,85
20250513,강남,구로디지털단지,8,94
20250513,강남,구로디지털단지,9,73
20250513,강남,구로디지털단지,10,47
20250513,강남,구로디지털단지,11,39
20250513,강남,구로디지털단지,12,58
20250513,강남,구로디지털단지,13,75
20250513,강남,구로디지털단지,14,89
20250513,강남,구로디지털단지,15,109
20250513,강남,구로디지털단지,16,136
20250513,강남,구로디지털단지,17,212
20250513,강남,구로디지털단지,18,416
20250513,강남,구로디지털단지,19,278
20250513,강남,구로디지털단지,20,232
20250513,강남,구로디지털단지,21,262
20250513,강남,구로디지털단지,22,207
20250513,강남,구로디지털단지,23,103
20250513,강남,구의(광진구청),0,10
20250513,강남,구의(광진구청),5,2
20250513,강남,구의(광진구청),6,9
20250513,강남,구의(광진구청),7,21
20250513,강남,구의(광진구청),8,21
20250513,강남,구의(광진구청),9,21
20250513,강남,구의(광진구청),10,27
20250513,강남,구의(광진구청),11,33
20250513,강남,구의(광진구청),12,31
20250513,강남,구의(광진구청),13,35
20250513,강남,구의(광진구청),14,37
20250513,강남,구의(광진구청),15,60
20250513,강남,구의(광진구청),16,58
20250513,강남,구의(광진구청),17,169
20250513,강남,구의(광진구청),18,241
20250513,강남,구의(광진구청),19,158
20250513,강남,구의(광진구청),20,116
20250513,강남,구의(광진구청),21,143
20250513,강남,구의(광진구청),22,123
20250513,강남,구의(광진구청),23,56
20250513,강남,낙성대,0,27
20250513,강남,낙성대,5,4
20250513,강남,낙성대,6,6
20250513,강남,낙성대,7,22
20250513,강남,낙성대,8,48
20250513,강남,낙성대,9,29
20250513,강남,낙성대,10,39
20250513,강남,낙성대,11,44
20250513,강남,낙성대,12,55
20250513,강남,낙성대,13,60
20250513,강남,낙성대,14,67
20250513,강남,낙성대,15,97
20250513,강남,낙성대,16,91
20250513,강남,낙성대,17,216
20250513,강남,낙성대,18,365
20250513,강남,낙성대,19,327
20250513,강남,낙성대,20,231
20250513,강남,낙성대,21,233
20250513,강남,낙성대,22,222
20250513,강남,낙성대,23,70
20250513,강남,당산,6,2
20250513,강남,당산,7,2
20250513,강남,당산,8,3
20250513,강남,당산,9,1
20250513,강남,당산,10,5
20250513,강남,당산,11,9
20250513,강남,당산,12,6
20250513,강남,당산,13,15
20250513,강남,당산,14,13
20250513,강남,당산,15,17
20250513,강남,당산,16,17
20250513,강남,당산,17,35
20250513,강남,당산,18,58
20250513,강남,당산,19,38
20250513,강남,당산,20,19
20250513,강남,당산,21,23
20250513,강남,당산,22,21
20250513,강남,당산,23,3
20250513,강남,대림(구로구청),0,7
20250513,강남,대림(구로구청),5,7
20250513,강남,대림(구로구청),6,6
20250513,강남,대림(구로구청),7,17
20250513,강남,대림(구로구청),8,17
20250513,강남,대림(구로구청),9,11
20250513,강남,대림(구로구청),10,19
20250513,강남,대림(구로구청),11,17
20250513,강남,대림(구로구청),12,17
20250513,강남,대림(구로구청),13,21
20250513,강남,대림(구로구청),14,49
20250513,강남,대림(구로구청),15,50
20250513,강남,대림(구로구청),16,55
20250513,강남,대림(구로구청),17,85
20250513,강남,대림(구로구청),18,110
20250513,강남,대림(구로구청),19,78
20250513,강남,대림(구로구청),20,100
20250513,강남,대림(구로구청),21,142
20250513,강남,대림(구로구청),22,111
20250513,강남,대림(구로구청),23,35
20250513,강남,동대문역사문화공원,8,2
20250513,강남,동대문역사문화공원,9,1
20250513,강남,동대문역사문화공원,10,3
20250513,강남,동대문역사문화공원,11,1
20250513,강남,동대문역사문화공원,12,7
20250513,강남,동대문역사문화공원,13,18
20250513,강남,동대문역사문화공원,14,8
20250513,강남,동대문역사문화공원,15,6
20250513,강남,동대문역사문화공원,16,15
20250513,강남,동대문역사문화공원,17,18
20250513,강남,동대문역사문화공원,18,15
20250513,강남,동대문역사문화공원,19,11
20250513,강남,동대문역사문화공원,20,7
20250513,강남,동대문역사문화공원,21,10
20250513,강남,동대문역사문화공원,22,5
20250513,강남,동대문역사문화공원,23,12
20250513,강남,뚝섬,0,2
20250513,강남,뚝섬,5,1
20250513,강남,뚝섬,6,4
20250513,강남,뚝섬,7,22
20250513,강남,뚝섬,8,28
20250513,강남,뚝섬,9,25
20250513,강남,뚝섬,10,19
20250513,강남,뚝섬,11,18
20250513,강남,뚝섬,12,14
20250513,강남,뚝섬,13,24
20250513,강남,뚝섬,14,22
20250513,강남,뚝섬,15,15
20250513,강남,뚝섬,16,23
20250513,강남,뚝섬,17,23
20250513,강남,뚝섬,18,40
20250513,강남,뚝섬,19,25
20250513,강남,뚝섬,20,14
20250513,강남,뚝섬,21,13
20250513,강남,뚝섬,22,14
20250513,강남,뚝섬,23,5
20250513,강남,문래,0,3
20250513,강남,문래,5,1
20250513,강남,문래,6,6
20250513,강남,문래,7,23
20250513,강남,문래,8,14
20250513,강남,문래,9,8
20250513,강남,문래,10,10
20250513,강남,문래,11,8
20250513,강남,문래,12,12
20250513,강남,문래,13,18
20250513,강남,문래,14,17
20250513,강남,문래,15,29
20250513,강남,문래,16,31
20250513,강남,문래,17,62
20250513,강남,문래,18,83
20250513,강남,문래,19,59
20250513,강남,문래,20,34
20250513,강남,문래,21,32
20250513,강남,문래,22,16
20250513,강남,문래,23,9
20250513,강남,방배,0,9
20250513,강남,방배,5,1
20250513,강남,방배,6,10
20250513,강남,방배,7,46
20250513,강남,방배,8,84
20250513,강남,방배,9,90
20250513,강남,방배,10,83
20250513,강남,방배,11,56
20250513,강남,방배,12,45
20250513,강남,방배,13,80
20250513,강남,방배,14,84
20250513,강남,방배,15,69
20250513,강남,방배,16,72
20250513,강남,방배,17,82
20250513,강남,방배,18,117
20250513,강남,방배,19,84
20250513,강남,방배,20,70
20250513,강남,방배,21,78
20250513,강남,방배,22,80
20250513,강남,방배,23,34
20250513,강남,봉천,0,13
20250513,강남,봉천,5,6
20250513,강남,봉천,6,12
20250513,강남,봉천,7,11
20250513,강남,봉천,8,15
20250513,강남,봉천,9,14
20250513,강남,봉천,10,14
20250513,강남,봉천,11,16
20250513,강남,봉천,12,33
20250513,강남,봉천,13,34
20250513,강남,봉천,14,76
20250513,강남,봉천,15,102
20250513,강남,봉천,16,89
20250513,강남,봉천,17,190
20250513,강남,봉천,18,290
20250513,강남,봉천,19,248
20250513,강남,봉천,20,188
20250513,강남,봉천,21,184
20250513,강남,봉천,22,156
20250513,강남,봉천,23,72
20250513,강남,사당,0,30
20250513,강남,사당,1,1
20250513,강남,사당,5,8
20250513,강남,사당,6,13
20250513,강남,사당,7,43
20250513,강남,사당,8,45
20250513,강남,사당,9,48
20250513,강남,사당,10,62
20250513,강남,사당,11,88
20250513,강남,사당,12,83
20250513,강남,사당,13,106
20250513,강남,사당,14,122
20250513,강남,사당,15,158
20250513,강남,사당,16,241
20250513,강남,사당,17,411
20250513,강남,사당,18,516
20250513,강남,사당,19,384
20250513,강남,사당,20,305
20250513,강남,사당,21,316
20250513,강남,사당,22,281
20250513,강남,사당,23,82
20250513,강남,삼성(무역센터),0,8
20250513,강남,삼성(무역센터),5,9
20250513,강남,삼성(무역센터),6,54
20250513,강남,삼성(무역센터),7,241
20250513,강남,삼성(무역센터),8,429
20250513,강남,삼성(무역센터),9,295
20250513,강남,삼성(무역센터),10,171
20250513,강남,삼성(무역센터),11,157
20250513,강남,삼성(무역센터),12,157
