기준_날짜,승차_역,하차_역,승차시간,인원수
20250509,강남,강남,0,39
20250509,강남,강남,5,6
20250509,강남,강남,6,3
20250509,강남,강남,7,5
20250509,강남,강남,8,9
20250509,강남,강남,9,10
20250509,강남,강남,10,16
20250509,강남,강남,11,25
20250509,강남,강남,12,22
20250509,강남,강남,13,56
20250509,강남,강남,14,38
20250509,강남,강남,15,44
20250509,강남,강남,16,52
20250509,강남,강남,17,114
20250509,강남,강남,18,270
20250509,강남,강남,19,61
20250509,강남,강남,20,30
20250509,강남,강남,21,50
20250509,강남,강남,22,84
20250509,강남,강남,23,85
20250509,강남,강변(동서울터미널),0,23
20250509,강남,강변(동서울터미널),5,4
20250509,강남,강변(동서울터미널),6,10
20250509,강남,강변(동서울터미널),7,11
20250509,강남,강변(동서울터미널),8,22
20250509,강남,강변(동서울터미널),9,18
20250509,강남,강변(동서울터미널),10,18
20250509,강남,강변(동서울터미널),11,49
20250509,강남,강변(동서울터미널),12,59
20250509,강남,강변(동서울터미널),13,37
20250509,강남,강변(동서울터미널),14,55
20250509,강남,강변(동서울터미널),15,67
20250509,강남,강변(동서울터미널),16,100
20250509,강남,강변(동서울터미널),17,147
20250509,강남,강변(동서울터미널),18,263
20250509,강남,강변(동서울터미널),19,116
20250509,강남,강변(동서울터미널),20,90
20250509,강남,강변(동서울터미널),21,111
20250509,강남,강변(동서울터미널),22,107
20250509,강남,강변(동서울터미널),23,42
20250509,강남,건대입구,0,26
20250509,강남,건대입구,5,2
20250509,강남,건대입구,6,9
20250509,강남,건대입구,7,11
20250509,강남,건대입구,8,27
20250509,강남,건대입구,9,24
20250509,강남,건대입구,10,19
20250509,강남,건대입구,11,35
20250509,강남,건대입구,12,50
20250509,강남,건대입구,13,37
20250509,강남,건대입구,14,51
20250509,강남,건대입구,15,78
20250509,강남,건대입구,16,86
20250509,강남,건대입구,17,147
20250509,강남,건대입구,18,229
20250509,강남,건대입구,19,153
20250509,강남,건대입구,20,91
20250509,강남,건대입구,21,89
20250509,강남,건대입구,22,122
20250509,강남,건대입구,23,65
20250509,강남,교대(법원.검찰청),0,11
20250509,강남,교대(법원.검찰청),5,4
20250509,강남,교대(법원.검찰청),6,16
20250509,강남,교대(법원.검찰청),7,52
20250509,강남,교대(법원.검찰청),8,136
20250509,강남,교대(법원.검찰청),9,139
20250509,강남,교대(법원.검찰청),10,94
20250509,강남,교대(법원.검찰청),11,120
20250509,강남,교대(법원.검찰청),12,111
20250509,강남,교대(법원.검찰청),13,123
20250509,강남,교대(법원.검찰청),14,123
20250509,강남,교대(법원.검찰청),15,93
20250509,강남,교대(법원.검찰청),16,108
20250509,강남,교대(법원.검찰청),17,107
20250509,강남,교대(법원.검찰청),18,132
20250509,강남,교대(법원.검찰청),19,96
20250509,강남,교대(법원.검찰청),20,70
20250509,강남,교대(법원.검찰청),21,55
20250509,강남,교대(법원.검찰청),22,66
20250509,강남,교대(법원.검찰청),23,34
20250509,강남,구로디지털단지,0,38
20250509,강남,구로디지털단지,5,8
20250509,강남,구로디지털단지,6,27
20250509,강남,구로디지털단지,7,76
20250509,강남,구로디지털단지,8,95
20250509,강남,구로디지털단지,9,63
20250509,강남,구로디지털단지,10,42
20250509,강남,구로디지털단지,11,38
20250509,강남,구로디지털단지,12,53
20250509,강남,구로디지털단지,13,70
20250509,강남,구로디지털단지,14,94
20250509,강남,구로디지털단지,15,116
20250509,강남,구로디지털단지,16,150
20250509,강남,구로디지털단지,17,239
20250509,강남,구로디지털단지,18,363
20250509,강남,구로디지털단지,19,277
20250509,강남,구로디지털단지,20,215
20250509,강남,구로디지털단지,21,245
20250509,강남,구로디지털단지,22,224
20250509,강남,구로디지털단지,23,131
20250509,강남,구의(광진구청),0,27
20250509,강남,구의(광진구청),5,2
20250509,강남,구의(광진구청),6,13
20250509,강남,구의(광진구청),7,17
20250509,강남,구의(광진구청),8,18
20250509,강남,구의(광진구청),9,13
20250509,강남,구의(광진구청),10,21
20250509,강남,구의(광진구청),11,15
20250509,강남,구의(광진구청),12,32
20250509,강남,구의(광진구청),13,26
20250509,강남,구의(광진구청),14,39
20250509,강남,구의(광진구청),15,53
20250509,강남,구의(광진구청),16,90
20250509,강남,구의(광진구청),17,152
20250509,강남,구의(광진구청),18,234
20250509,강남,구의(광진구청),19,149
20250509,강남,구의(광진구청),20,108
20250509,강남,구의(광진구청),21,117
20250509,강남,구의(광진구청),22,103
20250509,강남,구의(광진구청),23,78
20250509,강남,낙성대,0,65
20250509,강남,낙성대,5,12
20250509,강남,낙성대,6,6
20250509,강남,낙성대,7,24
20250509,강남,낙성대,8,37
20250509,강남,낙성대,9,31
20250509,강남,낙성대,10,28
20250509,강남,낙성대,11,44
20250509,강남,낙성대,12,50
20250509,강남,낙성대,13,58
20250509,강남,낙성대,14,72
20250509,강남,낙성대,15,105
20250509,강남,낙성대,16,109
20250509,강남,낙성대,17,204
20250509,강남,낙성대,18,328
20250509,강남,낙성대,19,255
20250509,강남,낙성대,20,203
20250509,강남,낙성대,21,187
20250509,강남,낙성대,22,224
20250509,강남,낙성대,23,129
20250509,강남,당산,0,3
20250509,강남,당산,6,1
20250509,강남,당산,7,3
20250509,강남,당산,8,4
20250509,강남,당산,9,4
20250509,강남,당산,10,6
20250509,강남,당산,11,6
20250509,강남,당산,12,14
20250509,강남,당산,13,12
20250509,강남,당산,14,17
20250509,강남,당산,15,23
20250509,강남,당산,16,17
20250509,강남,당산,17,49
20250509,강남,당산,18,55
20250509,강남,당산,19,31
20250509,강남,당산,20,22
20250509,강남,당산,21,21
20250509,강남,당산,22,20
20250509,강남,당산,23,17
20250509,강남,대림(구로구청),0,7
20250509,강남,대림(구로구청),5,2
20250509,강남,대림(구로구청),6,13
20250509,강남,대림(구로구청),7,17
20250509,강남,대림(구로구청),8,10
20250509,강남,대림(구로구청),9,11
20250509,강남,대림(구로구청),10,20
20250509,강남,대림(구로구청),11,26
20250509,강남,대림(구로구청),12,13
20250509,강남,대림(구로구청),13,18
20250509,강남,대림(구로구청),14,51
20250509,강남,대림(구로구청),15,48
20250509,강남,대림(구로구청),16,58
20250509,강남,대림(구로구청),17,75
20250509,강남,대림(구로구청),18,81
20250509,강남,대림(구로구청),19,71
20250509,강남,대림(구로구청),20,83
20250509,강남,대림(구로구청),21,106
20250509,강남,대림(구로구청),22,104
20250509,강남,대림(구로구청),23,50
20250509,강남,동대문역사문화공원,8,1
20250509,강남,동대문역사문화공원,9,1
20250509,강남,동대문역사문화공원,10,3
20250509,강남,동대문역사문화공원,11,5
20250509,강남,동대문역사문화공원,12,6
20250509,강남,동대문역사문화공원,13,11
20250509,강남,동대문역사문화공원,14,5
20250509,강남,동대문역사문화공원,15,8
20250509,강남,동대문역사문화공원,16,10
20250509,강남,동대문역사문화공원,17,10
20250509,강남,동대문역사문화공원,18,11
20250509,강남,동대문역사문화공원,19,17
20250509,강남,동대문역사문화공원,20,7
20250509,강남,동대문역사문화공원,21,7
20250509,강남,동대문역사문화공원,22,6
20250509,강남,동대문역사문화공원,23,6
20250509,강남,뚝섬,0,3
20250509,강남,뚝섬,5,1
20250509,강남,뚝섬,6,2
20250509,강남,뚝섬,7,18
20250509,강남,뚝섬,8,30
20250509,강남,뚝섬,9,14
20250509,강남,뚝섬,10,17
20250509,강남,뚝섬,11,21
20250509,강남,뚝섬,12,17
20250509,강남,뚝섬,13,21
20250509,강남,뚝섬,14,15
20250509,강남,뚝섬,15,27
20250509,강남,뚝섬,16,15
20250509,강남,뚝섬,17,45
20250509,강남,뚝섬,18,54
20250509,강남,뚝섬,19,24
20250509,강남,뚝섬,20,11
20250509,강남,뚝섬,21,11
20250509,강남,뚝섬,22,14
20250509,강남,뚝섬,23,11
20250509,강남,문래,0,3
20250509,강남,문래,5,2
20250509,강남,문래,6,3
20250509,강남,문래,7,26
20250509,강남,문래,8,16
20250509,강남,문래,9,10
20250509,강남,문래,10,6
20250509,강남,문래,11,14
20250509,강남,문래,12,9
20250509,강남,문래,13,18
20250509,강남,문래,14,19
20250509,강남,문래,15,16
20250509,강남,문래,16,21
20250509,강남,문래,17,63
20250509,강남,문래,18,98
20250509,강남,문래,19,50
20250509,강남,문래,20,30
20250509,강남,문래,21,30
20250509,강남,문래,22,33
20250509,강남,문래,23,20
20250509,강남,방배,0,13
20250509,강남,방배,5,1
20250509,강남,방배,6,11
20250509,강남,방배,7,44
20250509,강남,방배,8,63
20250509,강남,방배,9,70
20250509,강남,방배,10,43
20250509,강남,방배,11,36
20250509,강남,방배,12,51
20250509,강남,방배,13,47
20250509,강남,방배,14,63
20250509,강남,방배,15,71
20250509,강남,방배,16,74
20250509,강남,방배,17,98
20250509,강남,방배,18,115
20250509,강남,방배,19,94
20250509,강남,방배,20,53
20250509,강남,방배,21,73
20250509,강남,방배,22,74
20250509,강남,방배,23,48
20250509,강남,봉천,0,41
20250509,강남,봉천,5,4
20250509,강남,봉천,6,12
20250509,강남,봉천,7,10
20250509,강남,봉천,8,13
20250509,강남,봉천,9,10
20250509,강남,봉천,10,15
20250509,강남,봉천,11,28
20250509,강남,봉천,12,38
20250509,강남,봉천,13,36
20250509,강남,봉천,14,70
20250509,강남,봉천,15,96
20250509,강남,봉천,16,120
20250509,강남,봉천,17,187
20250509,강남,봉천,18,255
20250509,강남,봉천,19,216
20250509,강남,봉천,20,147
20250509,강남,봉천,21,145
20250509,강남,봉천,22,140
20250509,강남,봉천,23,108
20250509,강남,사당,0,71
20250509,강남,사당,4,1
20250509,강남,사당,5,5
20250509,강남,사당,6,15
20250509,강남,사당,7,30
20250509,강남,사당,8,33
20250509,강남,사당,9,31
20250509,강남,사당,10,53
20250509,강남,사당,11,85
20250509,강남,사당,12,95
20250509,강남,사당,13,123
20250509,강남,사당,14,140
20250509,강남,사당,15,171
20250509,강남,사당,16,233
20250509,강남,사당,17,447
20250509,강남,사당,18,554
20250509,강남,사당,19,395
20250509,강남,사당,20,250
20250509,강남,사당,21,298
20250509,강남,사당,22,275
20250509,강남,사당,23,156
20250509,강남,삼성(무역센터),0,12
20250509,강남,삼성(무역센터),5,11
20250509,강남,삼성(무역센터),6,71
20250509,강남,삼성(무역센터),7,191
20250509,강남,삼성(무역센터),8,367
20250509,강남,삼성(무역센터),9,287
20250509,강남,삼성(무역센터),10,175
20250509,강남,삼성(무역센터),11,193
20250509,강남,삼성(무역센터),12,192
20250509,강남,삼성(무역센터),13,395
20250509,강남,삼성(무역센터),14,214
20250509,강남,삼성(무역센터),15,182
20250509,강남,삼성(무역센터),16,184
20250509,강남,삼성(무역센터),17,254
20250509,강남,삼성(무역센터),18,268
20250509,강남,삼성(무역센터),19,142
20250509,강남,삼성(무역센터),20,73
20250509,강남,삼성(무역센터),21,87
20250509,강남,삼성(무역센터),22,58
20250509,강남,삼성(무역센터),23,36
20250509,강남,상왕십리,0,6
20250509,강남,상왕십리,6,1
20250509,강남,상왕십리,8,3
20250509,강남,상왕십리,9,3
20250509,강남,상왕십리,10,5
20250509,강남,상왕십리,11,3
20250509,강남,상왕십리,12,7
20250509,강남,상왕십리,13,5
20250509,강남,상왕십리,14,7
20250509,강남,상왕십리,15,11
20250509,강남,상왕십리,16,23
20250509,강남,상왕십리,17,42
20250509,강남,상왕십리,18,59
20250509,강남,상왕십리,19,33
20250509,강남,상왕십리,20,24
20250509,강남,상왕십리,21,24
20250509,강남,상왕십리,22,28
20250509,강남,상왕십리,23,17
20250509,강남,서울대입구(관악구청),0,76
20250509,강남,서울대입구(관악구청),5,12
20250509,강남,서울대입구(관악구청),6,16
20250509,강남,서울대입구(관악구청),7,44
20250509,강남,서울대입구(관악구청),8,66
20250509,강남,서울대입구(관악구청),9,63
20250509,강남,서울대입구(관악구청),10,59
20250509,강남,서울대입구(관악구청),11,77
20250509,강남,서울대입구(관악구청),12,92
20250509,강남,서울대입구(관악구청),13,125
