기준_날짜,승차_역,하차_역,승차시간,인원수
20250523,강남,강남,0,31
20250523,강남,강남,4,4
20250523,강남,강남,5,6
20250523,강남,강남,6,6
20250523,강남,강남,7,5
20250523,강남,강남,8,22
20250523,강남,강남,9,25
20250523,강남,강남,10,20
20250523,강남,강남,11,34
20250523,강남,강남,12,55
20250523,강남,강남,13,255
20250523,강남,강남,14,41
20250523,강남,강남,15,48
20250523,강남,강남,16,59
20250523,강남,강남,17,54
20250523,강남,강남,18,115
20250523,강남,강남,19,60
20250523,강남,강남,20,37
20250523,강남,강남,21,61
20250523,강남,강남,22,66
20250523,강남,강남,23,51
20250523,강남,강변(동서울터미널),0,13
20250523,강남,강변(동서울터미널),5,10
20250523,강남,강변(동서울터미널),6,8
20250523,강남,강변(동서울터미널),7,15
20250523,강남,강변(동서울터미널),8,16
20250523,강남,강변(동서울터미널),9,21
20250523,강남,강변(동서울터미널),10,29
20250523,강남,강변(동서울터미널),11,43
20250523,강남,강변(동서울터미널),12,36
20250523,강남,강변(동서울터미널),13,88
20250523,강남,강변(동서울터미널),14,61
20250523,강남,강변(동서울터미널),15,92
20250523,강남,강변(동서울터미널),16,112
20250523,강남,강변(동서울터미널),17,154
20250523,강남,강변(동서울터미널),18,227
20250523,강남,강변(동서울터미널),19,115
20250523,강남,강변(동서울터미널),20,88
20250523,강남,강변(동서울터미널),21,124
20250523,강남,강변(동서울터미널),22,113
20250523,강남,강변(동서울터미널),23,45
20250523,강남,건대입구,0,35
20250523,강남,건대입구,5,6
20250523,강남,건대입구,6,8
20250523,강남,건대입구,7,18
20250523,강남,건대입구,8,32
20250523,강남,건대입구,9,19
20250523,강남,건대입구,10,23
20250523,강남,건대입구,11,38
20250523,강남,건대입구,12,58
20250523,강남,건대입구,13,49
20250523,강남,건대입구,14,56
20250523,강남,건대입구,15,71
20250523,강남,건대입구,16,86
20250523,강남,건대입구,17,185
20250523,강남,건대입구,18,216
20250523,강남,건대입구,19,151
20250523,강남,건대입구,20,84
20250523,강남,건대입구,21,82
20250523,강남,건대입구,22,134
20250523,강남,건대입구,23,66
20250523,강남,교대(법원.검찰청),0,23
20250523,강남,교대(법원.검찰청),5,4
20250523,강남,교대(법원.검찰청),6,15
20250523,강남,교대(법원.검찰청),7,52
20250523,강남,교대(법원.검찰청),8,120
20250523,강남,교대(법원.검찰청),9,106
20250523,강남,교대(법원.검찰청),10,105
20250523,강남,교대(법원.검찰청),11,108
20250523,강남,교대(법원.검찰청),12,141
20250523,강남,교대(법원.검찰청),13,82
20250523,강남,교대(법원.검찰청),14,99
20250523,강남,교대(법원.검찰청),15,98
20250523,강남,교대(법원.검찰청),16,103
20250523,강남,교대(법원.검찰청),17,133
20250523,강남,교대(법원.검찰청),18,132
20250523,강남,교대(법원.검찰청),19,78
20250523,강남,교대(법원.검찰청),20,70
20250523,강남,교대(법원.검찰청),21,85
20250523,강남,교대(법원.검찰청),22,60
20250523,강남,교대(법원.검찰청),23,36
20250523,강남,구로디지털단지,0,44
20250523,강남,구로디지털단지,5,11
20250523,강남,구로디지털단지,6,31
20250523,강남,구로디지털단지,7,96
20250523,강남,구로디지털단지,8,86
20250523,강남,구로디지털단지,9,63
20250523,강남,구로디지털단지,10,35
20250523,강남,구로디지털단지,11,45
20250523,강남,구로디지털단지,12,54
20250523,강남,구로디지털단지,13,62
20250523,강남,구로디지털단지,14,100
20250523,강남,구로디지털단지,15,123
20250523,강남,구로디지털단지,16,162
20250523,강남,구로디지털단지,17,234
20250523,강남,구로디지털단지,18,374
20250523,강남,구로디지털단지,19,280
20250523,강남,구로디지털단지,20,209
20250523,강남,구로디지털단지,21,231
20250523,강남,구로디지털단지,22,222
20250523,강남,구로디지털단지,23,133
20250523,강남,구의(광진구청),0,31
20250523,강남,구의(광진구청),5,3
20250523,강남,구의(광진구청),6,12
20250523,강남,구의(광진구청),7,15
20250523,강남,구의(광진구청),8,18
20250523,강남,구의(광진구청),9,14
20250523,강남,구의(광진구청),10,18
20250523,강남,구의(광진구청),11,29
20250523,강남,구의(광진구청),12,37
20250523,강남,구의(광진구청),13,41
20250523,강남,구의(광진구청),14,36
20250523,강남,구의(광진구청),15,91
20250523,강남,구의(광진구청),16,85
20250523,강남,구의(광진구청),17,161
20250523,강남,구의(광진구청),18,212
20250523,강남,구의(광진구청),19,133
20250523,강남,구의(광진구청),20,109
20250523,강남,구의(광진구청),21,125
20250523,강남,구의(광진구청),22,118
20250523,강남,구의(광진구청),23,60
20250523,강남,낙성대,0,51
20250523,강남,낙성대,4,1
20250523,강남,낙성대,5,9
20250523,강남,낙성대,6,12
20250523,강남,낙성대,7,22
20250523,강남,낙성대,8,45
20250523,강남,낙성대,9,24
20250523,강남,낙성대,10,27
20250523,강남,낙성대,11,30
20250523,강남,낙성대,12,60
20250523,강남,낙성대,13,60
20250523,강남,낙성대,14,79
20250523,강남,낙성대,15,126
20250523,강남,낙성대,16,86
20250523,강남,낙성대,17,248
20250523,강남,낙성대,18,292
20250523,강남,낙성대,19,245
20250523,강남,낙성대,20,181
20250523,강남,낙성대,21,183
20250523,강남,낙성대,22,202
20250523,강남,낙성대,23,129
20250523,강남,당산,6,3
20250523,강남,당산,7,2
20250523,강남,당산,8,3
20250523,강남,당산,9,4
20250523,강남,당산,10,10
20250523,강남,당산,11,10
20250523,강남,당산,12,11
20250523,강남,당산,13,7
20250523,강남,당산,14,13
20250523,강남,당산,15,28
20250523,강남,당산,16,23
20250523,강남,당산,17,59
20250523,강남,당산,18,54
20250523,강남,당산,19,31
20250523,강남,당산,20,20
20250523,강남,당산,21,20
20250523,강남,당산,22,25
20250523,강남,당산,23,13
