기준_날짜,승차_역,하차_역,승차시간,인원수
20250524,강남,강남,4,1
20250524,강남,강남,5,18
20250524,강남,강남,6,7
20250524,강남,강남,7,11
20250524,강남,강남,8,13
20250524,강남,강남,9,20
20250524,강남,강남,10,29
20250524,강남,강남,11,34
20250524,강남,강남,12,37
20250524,강남,강남,13,50
20250524,강남,강남,14,46
20250524,강남,강남,15,43
20250524,강남,강남,16,50
20250524,강남,강남,17,48
20250524,강남,강남,18,42
20250524,강남,강남,19,40
20250524,강남,강남,20,37
20250524,강남,강남,21,34
20250524,강남,강남,22,44
20250524,강남,강남,23,69
20250524,강남,강변(동서울터미널),5,15
20250524,강남,강변(동서울터미널),6,14
20250524,강남,강변(동서울터미널),7,17
20250524,강남,강변(동서울터미널),8,19
20250524,강남,강변(동서울터미널),9,33
20250524,강남,강변(동서울터미널),10,36
20250524,강남,강변(동서울터미널),11,40
20250524,강남,강변(동서울터미널),12,76
20250524,강남,강변(동서울터미널),13,68
20250524,강남,강변(동서울터미널),14,78
20250524,강남,강변(동서울터미널),15,109
20250524,강남,강변(동서울터미널),16,116
20250524,강남,강변(동서울터미널),17,90
20250524,강남,강변(동서울터미널),18,79
20250524,강남,강변(동서울터미널),19,52
20250524,강남,강변(동서울터미널),20,57
20250524,강남,강변(동서울터미널),21,69
20250524,강남,강변(동서울터미널),22,46
20250524,강남,강변(동서울터미널),23,23
20250524,강남,건대입구,5,2
20250524,강남,건대입구,6,5
20250524,강남,건대입구,7,11
20250524,강남,건대입구,8,13
20250524,강남,건대입구,9,11
20250524,강남,건대입구,10,44
20250524,강남,건대입구,11,56
20250524,강남,건대입구,12,65
20250524,강남,건대입구,13,80
20250524,강남,건대입구,14,72
20250524,강남,건대입구,15,89
20250524,강남,건대입구,16,106
20250524,강남,건대입구,17,128
20250524,강남,건대입구,18,77
20250524,강남,건대입구,19,51
20250524,강남,건대입구,20,61
20250524,강남,건대입구,21,73
20250524,강남,건대입구,22,97
20250524,강남,건대입구,23,59
20250524,강남,교대(법원.검찰청),5,3
20250524,강남,교대(법원.검찰청),6,17
20250524,강남,교대(법원.검찰청),7,12
20250524,강남,교대(법원.검찰청),8,26
20250524,강남,교대(법원.검찰청),9,43
20250524,강남,교대(법원.검찰청),10,46
