기준_날짜,승차_역,하차_역,승차시간,인원수
20250522,강남,강남,0,16
20250522,강남,강남,4,1
20250522,강남,강남,5,1
20250522,강남,강남,6,5
20250522,강남,강남,7,7
20250522,강남,강남,8,6
20250522,강남,강남,9,15
20250522,강남,강남,10,21
20250522,강남,강남,11,18
20250522,강남,강남,12,32
20250522,강남,강남,13,29
20250522,강남,강남,14,39
20250522,강남,강남,15,40
20250522,강남,강남,16,35
20250522,강남,강남,17,61
20250522,강남,강남,18,99
20250522,강남,강남,19,39
20250522,강남,강남,20,46
20250522,강남,강남,21,57
20250522,강남,강남,22,44
20250522,강남,강남,23,27
20250522,강남,강변(동서울터미널),0,12
20250522,강남,강변(동서울터미널),5,5
20250522,강남,강변(동서울터미널),6,7
20250522,강남,강변(동서울터미널),7,12
20250522,강남,강변(동서울터미널),8,25
20250522,강남,강변(동서울터미널),9,13
20250522,강남,강변(동서울터미널),10,19
20250522,강남,강변(동서울터미널),11,35
20250522,강남,강변(동서울터미널),12,39
20250522,강남,강변(동서울터미널),13,37
20250522,강남,강변(동서울터미널),14,56
20250522,강남,강변(동서울터미널),15,63
20250522,강남,강변(동서울터미널),16,72
20250522,강남,강변(동서울터미널),17,148
20250522,강남,강변(동서울터미널),18,262
20250522,강남,강변(동서울터미널),19,104
20250522,강남,강변(동서울터미널),20,90
20250522,강남,강변(동서울터미널),21,107
20250522,강남,강변(동서울터미널),22,90
20250522,강남,강변(동서울터미널),23,43
20250522,강남,건대입구,0,28
20250522,강남,건대입구,5,2
20250522,강남,건대입구,6,11
20250522,강남,건대입구,7,14
20250522,강남,건대입구,8,27
20250522,강남,건대입구,9,20
20250522,강남,건대입구,10,28
20250522,강남,건대입구,11,30
20250522,강남,건대입구,12,49
20250522,강남,건대입구,13,45
20250522,강남,건대입구,14,71
20250522,강남,건대입구,15,71
20250522,강남,건대입구,16,89
20250522,강남,건대입구,17,143
20250522,강남,건대입구,18,270
20250522,강남,건대입구,19,126
20250522,강남,건대입구,20,91
20250522,강남,건대입구,21,109
20250522,강남,건대입구,22,98
20250522,강남,건대입구,23,46
20250522,강남,교대(법원.검찰청),0,3
20250522,강남,교대(법원.검찰청),5,3
20250522,강남,교대(법원.검찰청),6,16
20250522,강남,교대(법원.검찰청),7,50
20250522,강남,교대(법원.검찰청),8,130
20250522,강남,교대(법원.검찰청),9,121
20250522,강남,교대(법원.검찰청),10,111
20250522,강남,교대(법원.검찰청),11,121
20250522,강남,교대(법원.검찰청),12,119
20250522,강남,교대(법원.검찰청),13,131
20250522,강남,교대(법원.검찰청),14,123
20250522,강남,교대(법원.검찰청),15,118
20250522,강남,교대(법원.검찰청),16,99
20250522,강남,교대(법원.검찰청),17,113
20250522,강남,교대(법원.검찰청),18,121
20250522,강남,교대(법원.검찰청),19,71
20250522,강남,교대(법원.검찰청),20,55
20250522,강남,교대(법원.검찰청),21,54
20250522,강남,교대(법원.검찰청),22,40
20250522,강남,교대(법원.검찰청),23,20
20250522,강남,구로디지털단지,0,24
20250522,강남,구로디지털단지,5,9
20250522,강남,구로디지털단지,6,22
20250522,강남,구로디지털단지,7,78
20250522,강남,구로디지털단지,8,102
20250522,강남,구로디지털단지,9,77
20250522,강남,구로디지털단지,10,34
20250522,강남,구로디지털단지,11,35
20250522,강남,구로디지털단지,12,53
20250522,강남,구로디지털단지,13,68
20250522,강남,구로디지털단지,14,76
20250522,강남,구로디지털단지,15,108
20250522,강남,구로디지털단지,16,118
20250522,강남,구로디지털단지,17,226
20250522,강남,구로디지털단지,18,392
20250522,강남,구로디지털단지,19,280
20250522,강남,구로디지털단지,20,214
20250522,강남,구로디지털단지,21,258
20250522,강남,구로디지털단지,22,201
20250522,강남,구로디지털단지,23,121
20250522,강남,구의(광진구청),0,18
