기준_날짜,승차_역,하차_역,승차시간,인원수
20250528,강남,강남,0,11
20250528,강남,강남,4,1
20250528,강남,강남,5,6
20250528,강남,강남,6,2
20250528,강남,강남,7,3
20250528,강남,강남,8,13
20250528,강남,강남,9,19
20250528,강남,강남,10,22
20250528,강남,강남,11,30
20250528,강남,강남,12,33
20250528,강남,강남,13,27
20250528,강남,강남,14,40
20250528,강남,강남,15,41
20250528,강남,강남,16,39
20250528,강남,강남,17,55
20250528,강남,강남,18,46
20250528,강남,강남,19,45
20250528,강남,강남,20,29
20250528,강남,강남,21,54
20250528,강남,강남,22,47
20250528,강남,강남,23,22
20250528,강남,강변(동서울터미널),0,11
20250528,강남,강변(동서울터미널),5,3
20250528,강남,강변(동서울터미널),6,7
20250528,강남,강변(동서울터미널),7,18
20250528,강남,강변(동서울터미널),8,16
20250528,강남,강변(동서울터미널),9,17
20250528,강남,강변(동서울터미널),10,21
20250528,강남,강변(동서울터미널),11,36
20250528,강남,강변(동서울터미널),12,37
20250528,강남,강변(동서울터미널),13,41
20250528,강남,강변(동서울터미널),14,65
20250528,강남,강변(동서울터미널),15,53
20250528,강남,강변(동서울터미널),16,75
20250528,강남,강변(동서울터미널),17,159
20250528,강남,강변(동서울터미널),18,250
20250528,강남,강변(동서울터미널),19,107
20250528,강남,강변(동서울터미널),20,91
20250528,강남,강변(동서울터미널),21,110
20250528,강남,강변(동서울터미널),22,126
20250528,강남,강변(동서울터미널),23,30
20250528,강남,건대입구,0,31
20250528,강남,건대입구,5,2
20250528,강남,건대입구,6,11
20250528,강남,건대입구,7,15
20250528,강남,건대입구,8,36
20250528,강남,건대입구,9,28
20250528,강남,건대입구,10,24
20250528,강남,건대입구,11,30
20250528,강남,건대입구,12,42
20250528,강남,건대입구,13,57
20250528,강남,건대입구,14,50
20250528,강남,건대입구,15,54
20250528,강남,건대입구,16,68
20250528,강남,건대입구,17,127
20250528,강남,건대입구,18,220
20250528,강남,건대입구,19,121
20250528,강남,건대입구,20,95
20250528,강남,건대입구,21,120
20250528,강남,건대입구,22,115
20250528,강남,건대입구,23,45
20250528,강남,교대(법원.검찰청),0,7
20250528,강남,교대(법원.검찰청),5,5
20250528,강남,교대(법원.검찰청),6,16
20250528,강남,교대(법원.검찰청),7,57
20250528,강남,교대(법원.검찰청),8,136
20250528,강남,교대(법원.검찰청),9,118
20250528,강남,교대(법원.검찰청),10,104
20250528,강남,교대(법원.검찰청),11,101
20250528,강남,교대(법원.검찰청),12,91
20250528,강남,교대(법원.검찰청),13,125
20250528,강남,교대(법원.검찰청),14,104
20250528,강남,교대(법원.검찰청),15,84
20250528,강남,교대(법원.검찰청),16,83
20250528,강남,교대(법원.검찰청),17,105
20250528,강남,교대(법원.검찰청),18,105
20250528,강남,교대(법원.검찰청),19,72
20250528,강남,교대(법원.검찰청),20,58
20250528,강남,교대(법원.검찰청),21,58
20250528,강남,교대(법원.검찰청),22,46
20250528,강남,교대(법원.검찰청),23,23
20250528,강남,구로디지털단지,0,19
20250528,강남,구로디지털단지,5,7
20250528,강남,구로디지털단지,6,28
20250528,강남,구로디지털단지,7,85
20250528,강남,구로디지털단지,8,114
20250528,강남,구로디지털단지,9,55
20250528,강남,구로디지털단지,10,52
20250528,강남,구로디지털단지,11,36
20250528,강남,구로디지털단지,12,57
20250528,강남,구로디지털단지,13,80
20250528,강남,구로디지털단지,14,98
20250528,강남,구로디지털단지,15,110
20250528,강남,구로디지털단지,16,152
20250528,강남,구로디지털단지,17,242
20250528,강남,구로디지털단지,18,389
20250528,강남,구로디지털단지,19,252
20250528,강남,구로디지털단지,20,245
20250528,강남,구로디지털단지,21,249
20250528,강남,구로디지털단지,22,226
20250528,강남,구로디지털단지,23,109
20250528,강남,구의(광진구청),0,17
20250528,강남,구의(광진구청),5,3
20250528,강남,구의(광진구청),6,10
20250528,강남,구의(광진구청),7,16
20250528,강남,구의(광진구청),8,26
20250528,강남,구의(광진구청),9,22
20250528,강남,구의(광진구청),10,16
20250528,강남,구의(광진구청),11,26
20250528,강남,구의(광진구청),12,28
20250528,강남,구의(광진구청),13,35
20250528,강남,구의(광진구청),14,39
20250528,강남,구의(광진구청),15,82
20250528,강남,구의(광진구청),16,84
20250528,강남,구의(광진구청),17,159
20250528,강남,구의(광진구청),18,241
20250528,강남,구의(광진구청),19,160
20250528,강남,구의(광진구청),20,101
20250528,강남,구의(광진구청),21,140
20250528,강남,구의(광진구청),22,100
20250528,강남,구의(광진구청),23,59
20250528,강남,낙성대,0,36
20250528,강남,낙성대,5,9
20250528,강남,낙성대,6,16
20250528,강남,낙성대,7,24
20250528,강남,낙성대,8,57
20250528,강남,낙성대,9,28
20250528,강남,낙성대,10,38
20250528,강남,낙성대,11,35
20250528,강남,낙성대,12,44
20250528,강남,낙성대,13,62
20250528,강남,낙성대,14,66
20250528,강남,낙성대,15,107
20250528,강남,낙성대,16,96
20250528,강남,낙성대,17,220
20250528,강남,낙성대,18,321
20250528,강남,낙성대,19,280
20250528,강남,낙성대,20,213
20250528,강남,낙성대,21,208
20250528,강남,낙성대,22,203
20250528,강남,낙성대,23,115
20250528,강남,당산,0,2
20250528,강남,당산,5,1
20250528,강남,당산,6,4
20250528,강남,당산,7,4
20250528,강남,당산,8,3
20250528,강남,당산,9,4
20250528,강남,당산,10,2
20250528,강남,당산,11,14
20250528,강남,당산,12,14
20250528,강남,당산,13,13
20250528,강남,당산,14,14
20250528,강남,당산,15,12
20250528,강남,당산,16,19
20250528,강남,당산,17,51
20250528,강남,당산,18,44
20250528,강남,당산,19,43
20250528,강남,당산,20,24
20250528,강남,당산,21,26
20250528,강남,당산,22,17
20250528,강남,당산,23,7
20250528,강남,대림(구로구청),0,7
20250528,강남,대림(구로구청),5,5
20250528,강남,대림(구로구청),6,10
20250528,강남,대림(구로구청),7,23
20250528,강남,대림(구로구청),8,11
20250528,강남,대림(구로구청),9,17
20250528,강남,대림(구로구청),10,24
